iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep,epsilon
3,3,0,0.0,1,3,0,1.0
3,6,0,0.0,2,6,0,0.9901493354116764
15,21,0,0.0,3,21,0,0.9803966865736877
7,28,0,0.0,4,28,0,0.970741078213023
12,40,0,0.0,5,39,1,0.9611815447608
5,45,0,0.0,6,44,1,0.9517171302557069
9,54,0,0.0,7,53,1,0.9423468882484062
2,56,0,0.0,8,55,1,0.9330698817068888
23,79,0,0.0,9,76,3,0.9238851829227694
6,85,0,0.0,10,82,3,0.9147918734185159
9,94,0,0.0,11,91,3,0.9057890438555999
6,100,0,0.0,12,96,4,0.896875793943563
5,105,0,0.0,13,99,6,0.888051232349986
19,124,0,0.0,14,115,9,0.8793144766113556
3,127,0,0.0,15,117,10,0.8706646530448178
11,138,0,0.0,16,127,11,0.8621008966608072
8,146,0,0.0,17,134,12,0.8536223510765493
4,150,0,0.0,18,136,14,0.8452281684304199
11,161,0,0.0,19,145,16,0.8369175092971592
18,179,0,0.0,20,159,20,0.8286895426039287
10,189,0,0.0,21,167,22,0.820543445547202
5,194,0,0.0,22,171,23,0.8124784035104852
5,199,0,0.0,23,174,25,0.8044936099828537
7,206,0,0.0,24,179,27,0.7965882664783007
26,232,0,0.0,25,200,32,0.7887615824558879
12,244,0,0.0,26,211,33,0.7810127752406908
9,253,0,0.0,27,220,33,0.7733410699455306
3,256,0,0.0,28,223,33,0.7657456993934846
18,274,0,0.0,29,236,38,0.7582259040411682
9,283,0,0.0,30,245,38,0.7507809319027796
2,285,0,0.0,31,247,38,0.7434100384749007
5,290,0,0.0,32,250,40,0.7361124866620463
5,295,0,0.0,33,253,42,0.7288875467029541
10,305,0,0.0,34,259,46,0.7217344960976069
10,315,0,0.0,35,266,49,0.7146526195349836
2,317,0,0.0,36,268,49,0.7076412088215263
9,326,0,0.0,37,275,51,0.7006995628103208
13,339,0,0.0,38,284,55,0.6938269873309811
6,345,0,0.0,39,288,57,0.6870227951202322
16,361,1,1.0,40,303,58,0.680286305753183
4,365,1,0.0,41,305,60,0.6736168455752829
4,369,1,0.0,42,306,63,0.6670137476349562
7,376,1,0.0,43,312,64,0.6604763516169062
12,388,1,0.0,44,320,68,0.6540040037760834
10,398,1,0.0,45,327,71,0.64759605687231
8,406,1,0.0,46,333,73,0.6412518701055556
4,410,1,0.0,47,335,75,0.6349708090518567
5,415,1,0.0,48,336,79,0.6287522455998737
9,424,1,0.0,49,343,81,0.6225955578880794
4,428,1,0.0,50,346,82,0.616500130242572
7,435,1,0.0,51,350,85,0.6104653531155071
7,442,1,0.0,52,354,88,0.6044906230241432
9,451,1,0.0,53,356,95,0.5985753424904925
5,456,1,0.0,54,359,97,0.5927189199815717
3,459,1,0.0,55,361,98,0.5869207698502498
3,462,1,0.0,56,363,99,0.5811803122766818
12,474,1,0.0,57,369,105,0.5754969732103268
5,479,1,0.0,58,371,108,0.5698701843125418
3,482,1,0.0,59,374,108,0.564299382899748
9,491,1,0.0,60,378,113,0.558784011887162
7,498,1,0.0,61,383,115,0.5533235197330862
7,505,1,0.0,62,386,119,0.5479173603837548
2,507,1,0.0,63,388,119,0.5425649932187278
4,511,1,0.0,64,390,121,0.5372658829968282
4,515,1,0.0,65,393,122,0.5320194998026181
8,523,1,0.0,66,398,125,0.5268253189934059
6,529,1,0.0,67,402,127,0.5216828211467822
13,542,1,0.0,68,406,136,0.516591492008677
10,552,1,0.0,69,410,142,0.5115508224419336
4,556,1,0.0,70,414,142,0.5065603083753949
5,561,1,0.0,71,418,143,0.5016194507534953
3,564,1,0.0,72,421,143,0.49672775548635545
9,573,1,0.0,73,426,147,0.491884733400372
3,576,1,0.0,74,429,147,0.48708990018930043
5,581,1,0.0,75,430,151,0.48234277636582407
5,586,1,0.0,76,431,155,0.47764288721360454
10,596,1,0.0,77,437,159,0.47298976273981014
23,619,1,0.0,78,451,168,0.4683829376281158
13,632,1,0.0,79,457,175,0.4638219511921713
7,639,1,0.0,80,460,179,0.4593063473295323
9,648,1,0.0,81,464,184,0.45483567447604933
8,656,1,0.0,82,467,189,0.4504094855607117
6,662,1,0.0,83,470,192,0.44602733796093924
14,676,2,1.0,84,476,200,0.4416887934583202
7,683,2,0.0,85,478,205,0.43739341819478894
8,691,2,0.0,86,481,210,0.43314078262923944
3,694,2,0.0,87,483,211,0.4289304614945713
5,699,2,0.0,88,486,213,0.42476203375516264
9,708,2,0.0,89,488,220,0.42063508256476556
7,715,2,0.0,90,491,224,0.41654919522482203
4,719,2,0.0,91,492,227,0.4125039631431931
7,726,2,0.0,92,492,234,0.40849898179329963
14,740,2,0.0,93,499,241,0.404533850673669
7,747,2,0.0,94,501,246,0.40060817326788506
4,751,2,0.0,95,503,248,0.3967215570049359
5,756,2,0.0,96,506,250,0.3928736132199562
9,765,2,0.0,97,509,256,0.38906395711536096
7,772,2,0.0,98,511,261,0.38529220772236483
6,778,2,0.0,99,513,265,0.3815579878628856
4,782,2,0.0,100,514,268,0.37786092411182526
6,788,2,0.0,101,517,271,0.3742006467597279
10,798,2,0.0,102,521,277,0.3705767897758081
3,801,2,0.0,103,523,278,0.3669889907713475
9,810,3,1.0,104,525,285,0.36343689096345594
11,821,3,0.0,105,526,295,0.35992013513919235
21,842,3,0.0,106,534,308,0.35643837162004377
3,845,3,0.0,107,535,310,0.3529912522267568
3,848,3,0.0,108,536,312,0.34957843224451957
7,855,3,0.0,109,538,317,0.34619957038848975
13,868,3,0.0,110,542,326,0.34285432876966604
7,875,3,0.0,111,546,329,0.3395423728610988
6,881,3,0.0,112,547,334,0.3362633714644372
4,885,3,0.0,113,548,337,0.33301699667680906
16,901,3,0.0,114,553,348,0.3298029238580304
13,914,3,0.0,115,558,356,0.3266208315981408
14,928,3,0.0,116,562,366,0.32347040168526264
3,931,3,0.0,117,565,366,0.3203513190737793
7,938,3,0.0,118,568,370,0.3172632718528302
6,944,3,0.0,119,571,373,0.31420595121511996
3,947,3,0.0,120,571,376,0.311179051426037
6,953,3,0.0,121,573,380,0.3081822697930801
2,955,3,0.0,122,574,381,0.3052153066355885
3,958,3,0.0,123,574,384,0.30227786525477407
7,965,3,0.0,124,575,390,0.29936965190405085
10,975,3,0.0,125,578,397,0.29649037575966014
6,981,3,0.0,126,580,401,0.29363974889158817
4,985,3,0.0,127,580,405,0.2908174862347727
9,994,3,0.0,128,584,410,0.28802330556059597
9,1003,3,0.0,129,585,418,0.2852569274486622
18,1021,3,0.0,130,588,433,0.2825180752588548
9,1030,3,0.0,131,591,439,0.27980647510367246
3,1033,3,0.0,132,592,441,0.2771218558208399
3,1036,3,0.0,133,592,444,0.27446394894619186
3,1039,3,0.0,134,592,447,0.27183248868682575
26,1065,3,0.0,135,601,464,0.26922721189452276
7,1072,4,1.0,136,603,469,0.2666478580394326
3,1075,4,0.0,137,604,471,0.26409416918402034
4,1079,4,0.0,138,605,474,0.26156588995727226
4,1083,4,0.0,139,607,476,0.2590627675291589
23,1106,4,0.0,140,612,494,0.2565845515853515
17,1123,4,0.0,141,615,508,0.2541309943021904
2,1125,4,0.0,142,615,510,0.25170185032190273
19,1144,4,0.0,143,619,525,0.24929687672806608
11,1155,4,0.0,144,621,534,0.246915833021317
7,1162,5,1.0,145,622,540,0.24455848109530054
4,1166,5,0.0,146,624,542,0.2422245852128597
7,1173,6,1.0,147,625,548,0.23991391198246126
5,1178,6,0.0,148,625,553,0.2376262303348566
5,1183,6,0.0,149,625,558,0.2353613114999746
5,1188,6,0.0,150,626,562,0.23311892898404435
5,1193,6,0.0,151,626,567,0.23089885854694553
5,1198,6,0.0,152,626,572,0.22870087817978443
9,1207,6,0.0,153,626,581,0.22652476808269262
9,1216,6,0.0,154,630,586,0.22437031064284702
14,1230,6,0.0,155,634,596,0.22223729041270818
9,1239,6,0.0,156,637,602,0.22012549408847562
7,1246,7,1.0,157,638,608,0.21803471048875708
20,1266,7,0.0,158,646,620,0.21596473053345028
5,1271,7,0.0,159,647,624,0.21391534722283462
5,1276,7,0.0,160,647,629,0.2118863556168713
22,1298,7,0.0,161,651,647,0.20987755281470882
7,1305,8,1.0,162,651,654,0.20788873793439305
7,1312,9,1.0,163,652,660,0.2059197120927785
5,1317,9,0.0,164,653,664,0.20397027838564025
3,1320,9,0.0,165,654,666,0.20204024186798297
9,1329,10,1.0,166,655,674,0.20012940953454655
7,1336,11,1.0,167,655,681,0.1982375903005053
18,1354,11,0.0,168,660,694,0.19636459498235934
9,1363,11,0.0,169,663,700,0.19451023627901587
8,1371,11,0.0,170,663,708,0.19267432875305937
6,1377,11,0.0,171,665,712,0.19085668881220733
11,1388,11,0.0,172,667,721,0.1890571346909509
15,1403,11,0.0,173,667,736,0.1872754864323783
13,1416,11,0.0,174,672,744,0.18551156587017906
22,1438,11,0.0,175,675,763,0.1837651966108269
4,1442,11,0.0,176,676,766,0.1820362040159407
2,1444,11,0.0,177,676,768,0.18032441518482004
7,1451,12,1.0,178,677,774,0.17862965893715535
35,1486,13,1.0,179,685,801,0.17695176579590954
12,1498,13,0.0,180,686,812,0.1752905679703703
2,1500,13,0.0,181,687,813,0.17364589933937066
15,1515,13,0.0,182,689,826,0.172017595434677
15,1530,13,0.0,183,694,836,0.17040549342454195
8,1538,13,0.0,184,697,841,0.16880943209742102
11,1549,13,0.0,185,701,848,0.16722925184585147
7,1556,13,0.0,186,701,855,0.16566479465049133
5,1561,13,0.0,187,703,858,0.16411590406431734
12,1573,13,0.0,188,705,868,0.1625824251969801
2,1575,13,0.0,189,706,869,0.16106420469931504
12,1587,13,0.0,190,707,880,0.15956109074800714
10,1597,13,0.0,191,708,889,0.1580729330304087
11,1608,13,0.0,192,709,899,0.15659958272950783
4,1612,13,0.0,193,710,902,0.15514089250904667
8,1620,13,0.0,194,710,910,0.1536967164987875
16,1636,13,0.0,195,711,925,0.1522669102799259
19,1655,13,0.0,196,717,938,0.15085133087064845
4,1659,13,0.0,197,717,942,0.14944983671183457
6,1665,13,0.0,198,717,948,0.14806228765290044
6,1671,13,0.0,199,717,954,0.1466885449377839
6,1677,13,0.0,200,717,960,0.14532847119106862
6,1683,13,0.0,201,717,966,0.1439819304042466
6,1689,13,0.0,202,717,972,0.14264878792211688
11,1700,13,0.0,203,718,982,0.1413289104293205
6,1706,13,0.0,204,719,987,0.14002216593700811
4,1710,13,0.0,205,720,990,0.13872842376964165
12,1722,14,1.0,206,722,1000,0.1374475545519262
17,1739,14,0.0,207,724,1015,0.13617943019587256
10,1749,14,0.0,208,725,1024,0.13492392388798838
8,1757,14,0.0,209,725,1032,0.13368091007659658
6,1763,14,0.0,210,726,1037,0.1324502644592803
6,1769,14,0.0,211,726,1043,0.13123186397045208
19,1788,14,0.0,212,728,1060,0.13002558676904785
11,1799,14,0.0,213,732,1067,0.12883131222634217
3,1802,14,0.0,214,732,1070,0.12764892091388555
7,1809,14,0.0,215,732,1077,0.1264782945915614
14,1823,15,1.0,216,735,1088,0.125319316195762
13,1836,16,1.0,217,735,1101,0.12417186982768189
10,1846,16,0.0,218,736,1110,0.12303584074172813
13,1859,17,1.0,219,736,1123,0.12191111533404535
23,1882,17,0.0,220,737,1145,0.12079758113115559
18,1900,17,0.0,221,738,1162,0.11969512677871053
9,1909,18,1.0,222,738,1171,0.11860364203035628
17,1926,18,0.0,223,741,1185,0.11752301773670837
15,1941,18,0.0,224,742,1199,0.116453145834437
11,1952,18,0.0,225,743,1209,0.11539391933546027
7,1959,18,0.0,226,744,1215,0.11434523231624569
18,1977,18,0.0,227,745,1232,0.11330697990721733
6,1983,18,0.0,228,745,1238,0.1122790582822692
11,1994,18,0.0,229,745,1249,0.11126136464838206
9,2003,18,0.0,230,747,1256,0.11025379723534455
9,2012,19,1.0,231,748,1264,0.10925625528557566
9,2021,20,1.0,232,748,1273,0.1082686390440492
9,2030,21,1.0,233,748,1282,0.10729084974831793
9,2039,22,1.0,234,748,1291,0.10632278961863742
9,2048,23,1.0,235,748,1300,0.10536436184818809
9,2057,23,0.0,236,750,1307,0.10441547059339411
9,2066,24,1.0,237,750,1316,0.10347602096433932
9,2075,24,0.0,238,751,1324,0.10254591901527788
18,2093,24,0.0,239,755,1338,0.10162507173523985
6,2099,24,0.0,240,756,1343,0.10071338703872978
10,2109,25,1.0,241,757,1352,0.09981077375651838
6,2115,25,0.0,242,758,1357,0.09891714162652515
9,2124,26,1.0,243,759,1365,0.09803240128479247
7,2131,26,0.0,244,761,1370,0.09715646425654882
5,2136,26,0.0,245,763,1373,0.09628924294736148
17,2153,26,0.0,246,764,1389,0.09543065063437678
5,2158,26,0.0,247,764,1394,0.09458060145764802
6,2164,26,0.0,248,764,1400,0.09373901041154904
5,2169,26,0.0,249,765,1404,0.092905793336274
8,2177,26,0.0,250,769,1408,0.09208086690942092
16,2193,26,0.0,251,773,1420,0.0912641486376598
12,2205,27,1.0,252,775,1430,0.09045555684848275
9,2214,28,1.0,253,776,1438,0.08965501068203711
22,2236,28,0.0,254,779,1457,0.08886243008303903
6,2242,28,0.0,255,782,1460,0.08807773579276819
6,2248,28,0.0,256,782,1466,0.08730084934114159
6,2254,28,0.0,257,782,1472,0.08653169303886674
9,2263,29,1.0,258,783,1480,0.0857701899696724
4,2267,29,0.0,259,783,1484,0.08501626398261702
7,2274,30,1.0,260,784,1490,0.0842698396844737
6,2280,30,0.0,261,784,1496,0.08353084243219053
13,2293,30,0.0,262,785,1508,0.08279919832542652
9,2302,30,0.0,263,786,1516,0.08207483419916123
5,2307,30,0.0,264,787,1520,0.08135767761637844
24,2331,30,0.0,265,792,1539,0.08064765686082219
16,2347,30,0.0,266,793,1554,0.0799447009298253
17,2364,30,0.0,267,796,1568,0.0792487395272088
6,2370,30,0.0,268,798,1572,0.07855970305625253
2,2372,30,0.0,269,798,1574,0.07787752261273513
4,2376,30,0.0,270,798,1578,0.07720212997804382
12,2388,30,0.0,271,798,1590,0.07653345761235225
12,2400,30,0.0,272,798,1602,0.07587143864786668
6,2406,30,0.0,273,798,1608,0.07521600688213892
11,2417,30,0.0,274,800,1617,0.07456709677144624
8,2425,30,0.0,275,801,1624,0.07392464342423678
11,2436,30,0.0,276,801,1635,0.0732885825946405
8,2444,30,0.0,277,802,1642,0.07265885067604429
10,2454,30,0.0,278,802,1652,0.07203538469473161
17,2471,30,0.0,279,802,1669,0.0714181223035847
11,2482,30,0.0,280,803,1679,0.07080700177585013
10,2492,31,1.0,281,804,1688,0.07020196199896576
6,2498,31,0.0,282,804,1694,0.06960294246844981
27,2525,32,1.0,283,805,1720,0.06900988328184997
10,2535,32,0.0,284,805,1730,0.06842272513275337
6,2541,32,0.0,285,807,1734,0.06784140930485581
6,2547,32,0.0,286,809,1738,0.06726587766609007
11,2558,32,0.0,287,810,1748,0.06669607266281269
7,2565,32,0.0,288,810,1755,0.06613193731404843
8,2573,32,0.0,289,812,1761,0.06557341520579238
16,2589,33,1.0,290,812,1777,0.06502045048536823
9,2598,34,1.0,291,813,1785,0.06447298785584316
18,2616,34,0.0,292,813,1803,0.06393097257049796
10,2626,35,1.0,293,814,1812,0.06339435042735246
5,2631,35,0.0,294,815,1816,0.06286306776374512
17,2648,35,0.0,295,817,1831,0.06233707145096687
17,2665,35,0.0,296,817,1848,0.06181630888894806
2,2667,35,0.0,297,819,1848,0.061300728000998575
9,2676,36,1.0,298,819,1857,0.06079027722859992
9,2685,37,1.0,299,819,1866,0.060284905526249516
9,2694,38,1.0,300,819,1875,0.05978456235635595
9,2703,39,1.0,301,819,1884,0.05928919768418531
17,2720,39,0.0,302,820,1900,0.05879876197285753
12,2732,39,0.0,303,822,1910,0.058313206178392835
6,2738,39,0.0,304,822,1916,0.05783248174480709
6,2744,39,0.0,305,822,1922,0.057356540599256385
9,2753,40,1.0,306,823,1930,0.0568853351472295
8,2761,40,0.0,307,823,1938,0.0564188182677886
4,2765,40,0.0,308,824,1941,0.05595694330885694
9,2774,41,1.0,309,824,1950,0.05549966408255377
9,2783,42,1.0,310,824,1959,0.05504693486057535
11,2794,42,0.0,311,825,1969,0.05459871036962222
9,2803,43,1.0,312,825,1978,0.05415494578687179
16,2819,43,0.0,313,826,1993,0.05371559673549593
8,2827,43,0.0,314,827,2000,0.053280619280223436
9,2836,44,1.0,315,827,2009,0.05284996992294624
6,2842,44,0.0,316,828,2014,0.05242360559836979
7,2849,45,1.0,317,828,2021,0.05200148366970627
3,2852,45,0.0,318,829,2023,0.051583561924411096
7,2859,46,1.0,319,829,2030,0.05116979856996143
7,2866,47,1.0,320,830,2036,0.050760152229677065
18,2884,47,0.0,321,832,2052,0.05035458193858255
8,2892,47,0.0,322,835,2057,0.049953047139310834
8,2900,47,0.0,323,835,2065,0.04955550767804736
6,2906,47,0.0,324,835,2071,0.04916192380051474
5,2911,47,0.0,325,836,2075,0.0487722561479972
9,2920,48,1.0,326,836,2084,0.04838646575340479
9,2929,49,1.0,327,836,2093,0.04800451403737654
14,2943,49,0.0,328,837,2106,0.04762636280442257
12,2955,49,0.0,329,840,2115,0.04725197423910444
10,2965,49,0.0,330,841,2124,0.04688131090225365
10,2975,49,0.0,331,841,2134,0.046514335727227595
12,2987,49,0.0,332,842,2145,0.046151012016203
3,2990,49,0.0,333,843,2147,0.04579130343650595
3,2993,49,0.0,334,843,2150,0.04543517401697875
12,3005,49,0.0,335,843,2162,0.04508258814438266
10,3015,49,0.0,336,845,2170,0.04473351055983658
3,3018,49,0.0,337,845,2173,0.044387906355291176
6,3024,49,0.0,338,845,2179,0.04404574097003798
6,3030,49,0.0,339,845,2185,0.04370698018725335
10,3040,50,1.0,340,845,2195,0.043371590130576676
3,3043,50,0.0,341,845,2198,0.04303953726072282
6,3049,50,0.0,342,845,2204,0.042710788372128064
20,3069,50,0.0,343,845,2224,0.042385310589629625
6,3075,50,0.0,344,846,2229,0.04206307136517797
6,3081,50,0.0,345,846,2235,0.04174403847458216
6,3087,50,0.0,346,846,2241,0.04142818001428726
6,3093,50,0.0,347,846,2247,0.04111546439818403
6,3099,50,0.0,348,846,2253,0.04080586035445025
8,3107,50,0.0,349,847,2260,0.040499336922423565
20,3127,50,0.0,350,847,2280,0.040195863449505306
10,3137,50,0.0,351,847,2290,0.039895409588095315
25,3162,50,0.0,352,847,2315,0.039597945292557044
13,3175,50,0.0,353,848,2327,0.03930344081621308
7,3182,50,0.0,354,848,2334,0.03901186670837034
14,3196,50,0.0,355,848,2348,0.03872319381137508
27,3223,51,1.0,356,848,2375,0.03843739325769703
7,3230,52,1.0,357,848,2382,0.03815443646704266
7,3237,53,1.0,358,849,2388,0.03787429514349709
7,3244,54,1.0,359,849,2395,0.03759694127269454
7,3251,55,1.0,360,849,2402,0.037322347119016795
7,3258,56,1.0,361,849,2409,0.03705048522281963
3,3261,56,0.0,362,850,2411,0.03678132839768691
7,3268,56,0.0,363,851,2417,0.036514849727711796
7,3275,57,1.0,364,851,2424,0.03625102256480524
7,3282,58,1.0,365,851,2431,0.03598982052603108
7,3289,59,1.0,366,851,2438,0.0357312174909678
7,3296,60,1.0,367,851,2445,0.03547518759909634
7,3303,61,1.0,368,851,2452,0.035221705247214206
7,3310,62,1.0,369,851,2459,0.03497074508687494
7,3317,63,1.0,370,851,2466,0.034722282021853394
7,3324,64,1.0,371,851,2473,0.034476291205635994
7,3331,65,1.0,372,851,2480,0.034232748038936146
4,3335,65,0.0,373,852,2483,0.0339916281672342
7,3342,66,1.0,374,852,2490,0.03375290747834208
7,3349,67,1.0,375,852,2497,0.033516562099991945
7,3356,68,1.0,376,852,2504,0.03328256839744902
14,3370,68,0.0,377,853,2517,0.03305090297114803
3,3373,68,0.0,378,854,2519,0.03282154265435332
7,3380,69,1.0,379,854,2526,0.03259446451084204
7,3387,70,1.0,380,854,2533,0.03236964583261064
7,3394,71,1.0,381,854,2540,0.03214706413760394
7,3401,72,1.0,382,854,2547,0.03192669716746694
7,3408,73,1.0,383,854,2554,0.031708522885318995
7,3415,74,1.0,384,854,2561,0.031492519473550085
12,3427,74,0.0,385,855,2572,0.031278665331639026
17,3444,74,0.0,386,857,2587,0.031066939073993396
17,3461,74,0.0,387,857,2604,0.030857319527811018
7,3468,75,1.0,388,857,2611,0.030649785730962574
7,3475,76,1.0,389,857,2618,0.030444316929895437
7,3482,77,1.0,390,857,2625,0.030240892577558277
7,3489,78,1.0,391,858,2631,0.030039492331346347
7,3496,79,1.0,392,858,2638,0.029840096051067175
7,3503,80,1.0,393,858,2645,0.029642683796926583
7,3510,81,1.0,394,858,2652,0.02944723582753464
26,3536,81,0.0,395,859,2677,0.029253732597931535
29,3565,81,0.0,396,859,2706,0.029062154757633053
22,3587,81,0.0,397,860,2727,0.02887248314869552
9,3596,81,0.0,398,861,2735,0.028684698803799973
13,3609,81,0.0,399,861,2748,0.02849878294435545
13,3622,81,0.0,400,861,2761,0.02831471697862105
17,3639,82,1.0,401,862,2777,0.028132482499846838
15,3654,82,0.0,402,862,2792,0.027952061284433068
13,3667,82,0.0,403,862,2805,0.02777343529010782
17,3684,82,0.0,404,862,2822,0.027596586654122846
10,3694,82,0.0,405,863,2831,0.027421497691467157
10,3704,82,0.0,406,864,2840,0.02724815089309858
15,3719,83,1.0,407,865,2854,0.0270765289241928
9,3728,83,0.0,408,866,2862,0.026906614622409945
13,3741,83,0.0,409,866,2875,0.026738390996178224
6,3747,84,1.0,410,866,2881,0.026571841222994823
6,3753,85,1.0,411,866,2887,0.026406948647743643
6,3759,86,1.0,412,866,2893,0.026243696781029717
6,3765,87,1.0,413,866,2899,0.026082069297530375
6,3771,88,1.0,414,866,2905,0.02592205003436255
6,3777,89,1.0,415,866,2911,0.025763622989466578
7,3784,89,0.0,416,867,2917,0.025606772320005942
6,3790,90,1.0,417,867,2923,0.025451482340783003
6,3796,91,1.0,418,867,2929,0.02529773752267042
6,3802,92,1.0,419,867,2935,0.025145522491058264
6,3808,93,1.0,420,867,2941,0.02499482202431651
6,3814,94,1.0,421,867,2947,0.024845621052272927
6,3820,95,1.0,422,867,2953,0.024697904654705963
6,3826,96,1.0,423,867,2959,0.024551658059852766
6,3832,97,1.0,424,867,2965,0.024406866642931964
6,3838,98,1.0,425,867,2971,0.024263515924681227
9,3847,98,0.0,426,868,2979,0.024121591569909263
6,3853,99,1.0,427,868,2985,0.023981079386062323
5,3858,99,0.0,428,869,2989,0.023841965321804916
6,3864,100,1.0,429,869,2995,0.023704235465614704
6,3870,101,1.0,430,869,3001,0.023567876044391298
22,3892,101,0.0,431,870,3022,0.023432873422078924
6,3898,102,1.0,432,870,3028,0.02329921409830285
6,3904,102,0.0,433,871,3033,0.02316688470701933
6,3910,103,1.0,434,871,3039,0.023035872015178954
6,3916,104,1.0,435,871,3045,0.022906162921403357
16,3932,105,1.0,436,873,3059,0.022777744454675064
7,3939,106,1.0,437,873,3066,0.0226506037730404
7,3946,107,1.0,438,873,3073,0.02252472816232525
7,3953,108,1.0,439,873,3080,0.022400105034863643
7,3960,109,1.0,440,873,3087,0.02227672192823897
7,3967,110,1.0,441,873,3094,0.02215456650403775
7,3974,111,1.0,442,873,3101,0.022033626546615788
7,3981,112,1.0,443,873,3108,0.021913889961876536
7,3988,113,1.0,444,873,3115,0.02179534477606175
7,3995,114,1.0,445,873,3122,0.02167797913455405
7,4002,115,1.0,446,873,3129,0.021561781300691488
7,4009,116,1.0,447,873,3136,0.02144673965459385
7,4016,117,1.0,448,873,3143,0.021332842692000656
7,4023,118,1.0,449,873,3150,0.021220079023120713
7,4030,119,1.0,450,873,3157,0.02110843737149319
7,4037,120,1.0,451,873,3164,0.02099790657285988
7,4044,121,1.0,452,873,3171,0.020888475574048812
7,4051,122,1.0,453,873,3178,0.020780133431868894
7,4058,123,1.0,454,873,3185,0.020672869312015653
7,4065,124,1.0,455,873,3192,0.020566672487987697
7,4072,125,1.0,456,874,3198,0.02046153234001413
7,4079,126,1.0,457,874,3205,0.02035743835399253
7,4086,127,1.0,458,874,3212,0.020254380120437558
7,4093,128,1.0,459,874,3219,0.02015234733343998
7,4100,129,1.0,460,874,3226,0.020051329789636065
7,4107,130,1.0,461,874,3233,0.01995131738718724
7,4114,131,1.0,462,874,3240,0.019852300124769934
7,4121,132,1.0,463,874,3247,0.019754268100575387
20,4141,132,0.0,464,875,3266,0.019657211511319474
7,4148,133,1.0,465,875,3273,0.0195611206512624
7,4155,134,1.0,466,875,3280,0.01946598591123807
7,4162,135,1.0,467,875,3287,0.01937179777769322
8,4170,135,0.0,468,876,3294,0.019278546831735997
7,4177,136,1.0,469,876,3301,0.019186223748194096
7,4184,137,1.0,470,876,3308,0.01909481929468222
7,4191,138,1.0,471,876,3315,0.019004324330678855
7,4198,139,1.0,472,876,3322,0.018914729806612192
7,4205,140,1.0,473,876,3329,0.01882602676295516
7,4212,141,1.0,474,876,3336,0.018738206329329453
11,4223,141,0.0,475,877,3346,0.018651259723618557
7,4230,142,1.0,476,877,3353,0.01856517825108943
17,4247,142,0.0,477,878,3369,0.018479953303523082
12,4259,143,1.0,478,880,3379,0.018395576358353725
12,4271,143,0.0,479,882,3389,0.018312038977816556
29,4300,143,0.0,480,883,3417,0.018229332808103887
12,4312,143,0.0,481,883,3429,0.01814744957852983
10,4322,143,0.0,482,883,3439,0.01806638110070318
